Date,Description,Amount
01/09,Payment To Chase Card Ending IN 0793 ,669.32
01/12,Zelle Payment To Gicu Nexus Jpm999KS8Cos ,500.00
01/21,Payment To Chase Card Ending IN 0793,274.49
01/25,Payment To Chase Card Ending IN 0793,173.53
01/19,Kroger Fuel #834 3039 Louisville KY Card,-31.99
01/19,Kroger #3 3039 Brecken Louisville KY Card,-33.10
01/20,3901 S 7th St Louisville KY Card 7068,-100.00
01/23,Target T- 3600 Mall Rd Louisville KY Card,-152.67
01/23,Bryan G Harness Cosmet Louisville KY Card,-185.00
01/23,Pauls Fruit Mark 3704 Louisville KY Card,-44.18
01/23,Sunshine Pediatrics Louisville KY Card 1981,-35.00
01/23,Kroger #785 Louisville KY Card 1981,-68.69
01/24,Target T- 3600 Mall Rd Louisville KY Card,-138.21
01/25,Fenwick Animal Clinic Louisville KY Card,-63.25
01/25,Costco Whse #1238 Louisville KY Card 1981,-36.09
01/25,Costco Gas #1238 Louisville KY Card 1981,-33.89
01/27,Kroger #346 3039 Breck Louisville KY Card,-36.15
01/80,Costco Gas #1238 Louisville KY Card 1981,-30.67
01/31,Mirage Louisville KY Card 1981,-37.53
02/01,Target T- 3600 Mall Rd Louisville KY Card,-109.30
02/01,Target T- 3600 Mall Rd Louisville KY Card,-50.67
02/01,Toyota Oxmoor Toyota Louisville KY Card 1981,-162.95
02/02,First Watch - 523 - S 502-618-1955 KY Card,-31.75
02/03,Kroger Fuel #878 4915 Louisville KY Card,-39.39
02/03,First Watch - 570 - 502-444-7744 KY Card,-26.88
02/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
02/07,Kroger Fuel #878 4915 Louisville KY Card,-35.82
02/07,3901 S 7th St Louisville KY Card 7068,-200.00
02/07,Kroger #7 4915A Dixie Louisville KY Card,-117.91
02/08,Petsmart # 1117 Louisville KY Card 1981,-228.17
02/08,Pauls Fruit Mark 3704 Louisville KY Card,-70.25
02/08,Best Buy #333 Louisvile KY Card 1981,-76.19
02/08,Igms 877-7352559 CO Card 1981,-68.17
02/09,Costco Whse #1238 Louisville KY Card 1981,-373.18
02/10,Target T- 3600 Mall Rd Louisville KY Card,-80.96
02/11,Wal-Mart #2691 New Albany IN Card 1981,-165.93
02/12,Thorntons #0161 #0161 Louisville KY Card,-35.98
02/13,Wal-Mart Super Center Louisville KY Card,-58.48
02/14,Buff City Soap - 4600 Louisville KY Card,-79.36
02/14,Kroger #7 4915A Dixie Louisville KY Card,-54.36
02/15,Interest Payment,0.05
01/09,Payment To Chase Card Ending IN 0793 ,669.32
01/12,Zelle Payment To Gicu Nexus Jpm999KS8Cos ,500.00
01/21,Payment To Chase Card Ending IN 0793,274.49
01/25,Payment To Chase Card Ending IN 0793,173.53
04/16,Payment To Chase Card Ending IN 0793,59.95
04/23,Payment To Chase Card Ending IN 0793,18.42
08/19,Kroger #7 4915A Dixie Louisville KY Card,-42.12
08/20,Newport Aquarium Web 859-815-1414 KY Card,-112.90
08/20,Newport Aquarium Newport KY Card 6815,-8.41
08/22,3901 S 7th St Louisville KY Card 7068,-100.00
08/22,3901 S 7th St Louisville KY Card 6815,-100.00
08/24,7335 Dixie Hwy Louisville KY Card 6815,-60.00
08/24,The Home Depot #2302 Louisville KY Card,-24.23
08/24,2211 Heather Ln Louisville KY Card 6815,-43.25
08/24,The Home Depot #2302 Louisville KY Card,-27.41
08/24,Non-Chase ATM Fee-With,-3.00
08/27,4111 Shelbyville Rd Louisville KY Card 7068,-200.00
08/30,Zelle Payment To Juan Constructor 18303064222,-200.00
08/30,B Quick Food Mar Louisville KY Card 7068,-5.14
08/80,Kroger #7 4915A Dixie Louisville KY Card,-82.40
