Date,Description,Amount,City,State
01/09,Payment To Chase Card   0793,669.32,Ending,IN
01/12,Zelle Payment To Gicu Nexus Jpm999KS8Cos ,500.0,,
01/21,Payment To Chase Card   0793,274.49,Ending,IN
01/25,Payment To Chase Card   0793,173.53,Ending,IN
01/19,Kroger Fuel #834 3039   Card,-31.99,Louisville,KY
01/19,Kroger #3 3039 Brecken   Card,-33.1,Louisville,KY
01/20,3901 S 7th St   Card 7068,-100.0,Louisville,KY
01/23,Target T- 3600 Mall Rd   Card,-152.67,Louisville,KY
01/23,Bryan G Harness Cosmet   Card,-185.0,Louisville,KY
01/23,Pauls Fruit Mark 3704   Card,-44.18,Louisville,KY
01/23,Sunshine Pediatrics   Card 1981,-35.0,Louisville,KY
01/23,Kroger #785   Card 1981,-68.69,Louisville,KY
01/24,Target T- 3600 Mall Rd   Card,-138.21,Louisville,KY
01/25,Fenwick Animal Clinic   Card,-63.25,Louisville,KY
01/25,Costco Whse #1238   Card 1981,-36.09,Louisville,KY
01/25,Costco Gas #1238   Card 1981,-33.89,Louisville,KY
01/27,Kroger #346 3039 Breck   Card,-36.15,Louisville,KY
01/80,Costco Gas #1238   Card 1981,-30.67,Louisville,KY
01/31,Mirage   Card 1981,-37.53,Louisville,KY
02/01,Target T- 3600 Mall Rd   Card,-109.3,Louisville,KY
02/01,Target T- 3600 Mall Rd   Card,-50.67,Louisville,KY
02/01,Toyota Oxmoor Toyota   Card 1981,-162.95,Louisville,KY
02/02,First Watch - 523 - S 502-618-1955 KY Card,-31.75,,
02/03,Kroger Fuel #878 4915   Card,-39.39,Louisville,KY
02/03,First Watch - 570 - 502-444-7744 KY Card,-26.88,,
02/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.3,,
02/07,Kroger Fuel #878 4915   Card,-35.82,Louisville,KY
02/07,3901 S 7th St   Card 7068,-200.0,Louisville,KY
02/07,Kroger #7 4915A Dixie   Card,-117.91,Louisville,KY
02/08,Petsmart # 1117   Card 1981,-228.17,Louisville,KY
02/08,Pauls Fruit Mark 3704   Card,-70.25,Louisville,KY
02/08,Best Buy #333   Card 1981,-76.19,Louisvile,KY
02/08,Igms 877-7352559 CO Card 1981,-68.17,,
02/09,Costco Whse #1238   Card 1981,-373.18,Louisville,KY
02/10,Target T- 3600 Mall Rd   Card,-80.96,Louisville,KY
02/11,Wal-Mart #2691 New   Card 1981,-165.93,Albany,IN
02/12,Thorntons #0161 #0161   Card,-35.98,Louisville,KY
02/13,Wal-Mart Super Center   Card,-58.48,Louisville,KY
02/14,Buff City Soap - 4600   Card,-79.36,Louisville,KY
02/14,Kroger #7 4915A Dixie   Card,-54.36,Louisville,KY
02/15,Interest Payment,0.05,,
01/09,Payment To Chase Card   0793,669.32,Ending,IN
01/12,Zelle Payment To Gicu Nexus Jpm999KS8Cos ,500.0,,
01/21,Payment To Chase Card   0793,274.49,Ending,IN
01/25,Payment To Chase Card   0793,173.53,Ending,IN
04/16,Payment To Chase Card   0793,59.95,Ending,IN
04/23,Payment To Chase Card   0793,18.42,Ending,IN
08/19,Kroger #7 4915A Dixie   Card,-42.12,Louisville,KY
08/20,Newport Aquarium Web 859-815-1414 KY Card,-112.9,,
08/20,Aquarium   Card 6815,-8.41,Newport,KY
08/22,3901 S 7th St   Card 7068,-100.0,Louisville,KY
08/22,3901 S 7th St   Card 6815,-100.0,Louisville,KY
08/24,7335 Dixie Hwy   Card 6815,-60.0,Louisville,KY
08/24,The Home Depot #2302   Card,-24.23,Louisville,KY
08/24,2211 Heather Ln   Card 6815,-43.25,Louisville,KY
08/24,The Home Depot #2302   Card,-27.41,Louisville,KY
08/24,Non-Chase ATM Fee-With,-3.0,,
08/27,4111 Shelbyville Rd   Card 7068,-200.0,Louisville,KY
08/30,Zelle Payment To Juan Constructor 18303064222,-200.0,,
08/30,B Quick Food Mar   Card 7068,-5.14,Louisville,KY
08/80,Kroger #7 4915A Dixie   Card,-82.4,Louisville,KY
08/31,888-815-6446 OH Card 6815,-776.41,Caresource,KY
08/30,Sunshine Pediatrics   Card 6815,-126.0,Louisville,KY
08/31,Becht Givens Service E 502-6361300 IN Card,-311.1,,
09/01,Pauls Fruit Mark 3704   Card,-101.74,Louisville,KY
09/01,Kroger #7 4915A Dixie   Card,-40.31,Louisville,KY
09/02,20480900 3131 Louisville KY Card,-9.65,Usps,PO
09/02,Sherwin Williams 70126   Card,-159.0,Louisville,KY
09/03,Wal-Mart Super Center   Card,-27.52,Louisville,KY
09/05,Costco Whse #1238   Card 6815,-199.05,Louisville,KY
09/05,Greater Louisville Ym 502-587-9622 KY Card,-109.0,,
09/05,Hometown Hauling 502-3614446 KY Card 6815,-75.0,,
09/05,Sams Scan-N-Go   Card 6815,-117.69,Jeffersontown,KY
09/06,Pilot #0004   Card 7068,-2.5,Avon,OH
09/06,Ta # 139 Jeffer   Card 7068,-9.66,Jeffersonvill,OH
09/06,Ta # 139 Jeffer   Card 7068,-8.59,Jeffersonvil,OH
09/07,Zelle Payment To Juan Constructor 18381630547,-200.0,,
09/07,Walgreens Store 4926 C   Card,-14.98,Louisville,KY
09/07,Kroger #2 7509 Terry R   Card,-36.6,Louisville,KY
09/08,Eagle    Card 7068,-70.35,Louisville,KY
09/09,20480900 3131 Louisville KY Card,-9.65,Usps,PO
09/11,Chau Restaurant   Card 7068,-20.38,Louisville,KY
09/13,Harbor Freight Tools 4   Card,-116.55,Louisville,KY
09/13,3901 S 7th St   Card 7068,-100.0,Louisville,KY
09/13,Kroger #7 4915A Dixie   Card,-156.6,Louisville,KY
09/13,Pauls Fruit Market Tayl   Card 6815,-102.56,Louisville,KY
09/15,20480900 3131 Louisville KY Card,-9.65,Usps,PO
09/15,Whirlpool Appliances 800-253-1301 MI Card,-91.56,,
09/16,Columbia 598   Card 7068,-105.92,Simpsonville,KY
09/15,Pepper Palace Bluegra   Card,-47.67,Simpsonville,KY
